epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
28,train,0.042538,0.042538,0.000000,3.542229,0.042538,0.020590,"[0.04016711935400963, 0.04490901902318001]","[3.6623804569244385, 3.42207932472229]",0.000000,[],1558,49843
28,val,0.031287,0.031287,0.000000,3.546560,0.031287,0.021501,"[0.028763828799128532, 0.03380966559052467]","[3.6670684814453125, 3.4260494709014893]",0.000000,[],174,5539
29,train,0.042481,0.042481,0.000000,3.574874,0.042481,0.021517,"[0.04012521356344223, 0.04483584314584732]","[3.6926987171173096, 3.4570491313934326]",0.000000,[],1558,49843
29,val,0.031169,0.031169,0.000000,3.588560,0.031169,0.022440,"[0.028414063155651093, 0.033922985196113586]","[3.7048256397247314, 3.4722957611083984]",0.000000,[],174,5539
30,train,0.042427,0.042427,0.000000,3.607448,0.042427,0.022434,"[0.04007915407419205, 0.04477417469024658]","[3.722890615463257, 3.492004156112671]",0.000000,[],1558,49843
30,val,0.031140,0.031140,0.000000,3.617638,0.031140,0.023703,"[0.028354067355394363, 0.03392540663480759]","[3.7324070930480957, 3.50287127494812]",0.000000,[],174,5539
31,train,0.042384,0.042384,0.000000,3.638017,0.042384,0.023374,"[0.04004058614373207, 0.044726476073265076]","[3.751265287399292, 3.524771213531494]",0.000000,[],1558,49843
31,val,0.031032,0.031032,0.000000,3.649665,0.031032,0.024254,"[0.02820783667266369, 0.033855684101581573]","[3.7619071006774902, 3.537421703338623]",0.000000,[],174,5539
32,train,0.042327,0.042327,0.000000,3.668031,0.042327,0.024267,"[0.039996031671762466, 0.04465757682919502]","[3.7790462970733643, 3.557014226913452]",0.000000,[],1558,49843
32,val,0.031062,0.031062,0.000000,3.674761,0.031062,0.024936,"[0.02837342396378517, 0.03375135734677315]","[3.785510301589966, 3.5640130043029785]",0.000000,[],174,5539
33,train,0.042287,0.042287,0.000000,3.696047,0.042287,0.025110,"[0.03996458277106285, 0.04460960626602173]","[3.8050694465637207, 3.5870230197906494]",0.000000,[],1558,49843
33,val,0.031070,0.031070,0.000000,3.700792,0.031070,0.026585,"[0.028314150869846344, 0.033825863152742386]","[3.809980630874634, 3.591603994369507]",0.000000,[],174,5539
34,train,0.042249,0.042249,0.000000,3.719667,0.042249,0.025774,"[0.039926670491695404, 0.044571731239557266]","[3.8269572257995605, 3.6123766899108887]",0.000000,[],1558,49843
34,val,0.030985,0.030985,0.000000,3.725541,0.030985,0.026459,"[0.028206748887896538, 0.03376377746462822]","[3.8329012393951416, 3.618177890777588]",0.000000,[],174,5539
35,train,0.042205,0.042205,0.000000,3.744602,0.042205,0.026482,"[0.03989033401012421, 0.044519830495119095]","[3.8500797748565674, 3.6391208171844482]",0.000000,[],1558,49843
35,val,0.030987,0.030987,0.000000,3.742028,0.030987,0.027578,"[0.02829884923994541, 0.033674661070108414]","[3.848628044128418, 3.635427474975586]",0.000000,[],174,5539
36,train,0.042160,0.042160,0.000000,3.766689,0.042160,0.027059,"[0.039856646209955215, 0.04446270689368248]","[3.8705835342407227, 3.6627964973449707]",0.000000,[],1558,49843
36,val,0.031089,0.031089,0.000000,3.776244,0.031089,0.027375,"[0.028278395533561707, 0.03389926999807358]","[3.879594087600708, 3.6728930473327637]",0.000000,[],174,5539
37,train,0.042123,0.042123,0.000000,3.788626,0.042123,0.027619,"[0.03981906920671463, 0.044426463544368744]","[3.8908298015594482, 3.6864278316497803]",0.000000,[],1558,49843
37,val,0.030883,0.030883,0.000000,3.792638,0.030883,0.028002,"[0.02812088280916214, 0.03364605829119682]","[3.8942413330078125, 3.691035032272339]",0.000000,[],174,5539
38,train,0.042095,0.042095,0.000000,3.807274,0.042095,0.028065,"[0.039800260215997696, 0.044389426708221436]","[3.908116579055786, 3.7064356803894043]",0.000000,[],1558,49843
38,val,0.030967,0.030967,0.000000,3.814455,0.030967,0.028995,"[0.028245404362678528, 0.033688727766275406]","[3.9153573513031006, 3.7135531902313232]",0.000000,[],174,5539
39,train,0.042058,0.042058,0.000000,3.827142,0.042058,0.028532,"[0.039770420640707016, 0.04434492811560631]","[3.9265384674072266, 3.7277450561523438]",0.000000,[],1558,49843
39,val,0.030895,0.030895,0.000000,3.826020,0.030895,0.029160,"[0.0282574649900198, 0.0335325188934803]","[3.92557954788208, 3.7264633178710938]",0.000000,[],174,5539
40,train,0.042026,0.042026,0.000000,3.845388,0.042026,0.028904,"[0.0397428423166275, 0.044309403747320175]","[3.9433228969573975, 3.7474498748779297]",0.000000,[],1558,49843
40,val,0.030834,0.030834,0.000000,3.848544,0.030834,0.029825,"[0.02815677411854267, 0.03351150080561638]","[3.9466474056243896, 3.7504372596740723]",0.000000,[],174,5539
41,train,0.041995,0.041995,0.000000,3.863815,0.041995,0.029327,"[0.03972436487674713, 0.04426596313714981]","[3.9603326320648193, 3.7672970294952393]",0.000000,[],1558,49843
41,val,0.030876,0.030876,0.000000,3.872251,0.030876,0.030437,"[0.028080498799681664, 0.033671122044324875]","[3.968149185180664, 3.776353359222412]",0.000000,[],174,5539
42,train,0.041959,0.041959,0.000000,3.880489,0.041959,0.029646,"[0.039685800671577454, 0.044232096523046494]","[3.975632667541504, 3.7853400707244873]",0.000000,[],1558,49843
42,val,0.030819,0.030819,0.000000,3.883450,0.030819,0.030755,"[0.02821931056678295, 0.03341861441731453]","[3.97809100151062, 3.788806915283203]",0.000000,[],174,5539
43,train,0.041941,0.041941,0.000000,3.896699,0.041941,0.030000,"[0.039678435772657394, 0.044204358011484146]","[3.9906699657440186, 3.8027288913726807]",0.000000,[],1558,49843
43,val,0.030660,0.030660,0.000000,3.897894,0.030660,0.031562,"[0.028164269402623177, 0.03315582126379013]","[3.9915335178375244, 3.804255247116089]",0.000000,[],174,5539
44,train,0.041905,0.041905,0.000000,3.912719,0.041905,0.030356,"[0.03965270519256592, 0.04415653273463249]","[4.005341053009033, 3.820093870162964]",0.000000,[],1558,49843
44,val,0.030705,0.030705,0.000000,3.916105,0.030705,0.031723,"[0.02796141617000103, 0.03344952315092087]","[4.008594989776611, 3.823612928390503]",0.000000,[],174,5539
45,train,0.041887,0.041887,0.000000,3.927702,0.041887,0.030639,"[0.03963465616106987, 0.04413978010416031]","[4.019053936004639, 3.836348533630371]",0.000000,[],1558,49843
45,val,0.030618,0.030618,0.000000,3.941590,0.030618,0.031387,"[0.027928344905376434, 0.0333072766661644]","[4.03188419342041, 3.8512954711914062]",0.000000,[],174,5539
46,train,0.041857,0.041857,0.000000,3.942263,0.041857,0.030946,"[0.03961041569709778, 0.04410411790013313]","[4.032472133636475, 3.852048873901367]",0.000000,[],1558,49843
46,val,0.030721,0.030721,0.000000,3.944863,0.030721,0.031613,"[0.02796562761068344, 0.03347582742571831]","[4.034454345703125, 3.8552722930908203]",0.000000,[],174,5539
47,train,0.041839,0.041839,0.000000,3.956777,0.041839,0.031207,"[0.03960017114877701, 0.044077422469854355]","[4.045763969421387, 3.867788076400757]",0.000000,[],1558,49843
47,val,0.030749,0.030749,0.000000,3.960991,0.030749,0.031861,"[0.028088100254535675, 0.03341074660420418]","[4.0496296882629395, 3.8723509311676025]",0.000000,[],174,5539
48,train,0.041816,0.041816,0.000000,3.968979,0.041816,0.031452,"[0.03957687318325043, 0.04405545815825462]","[4.057014465332031, 3.88094425201416]",0.000000,[],1558,49843
48,val,0.030678,0.030678,0.000000,3.972474,0.030678,0.031657,"[0.028024177998304367, 0.033331483602523804]","[4.06058931350708, 3.8843600749969482]",0.000000,[],174,5539
49,train,0.041791,0.041791,0.000000,3.981766,0.041791,0.031754,"[0.03955598175525665, 0.04402551427483559]","[4.068747520446777, 3.8947842121124268]",0.000000,[],1558,49843
49,val,0.030597,0.030597,0.000000,3.999705,0.030597,0.032204,"[0.027999870479106903, 0.03319387882947922]","[4.085385322570801, 3.9140243530273438]",0.000000,[],174,5539
50,train,0.041779,0.041779,0.000000,3.992732,0.041779,0.031962,"[0.03954700380563736, 0.04401130974292755]","[4.078838348388672, 3.9066264629364014]",0.000000,[],1558,49843
50,val,0.030772,0.030772,0.000000,3.987353,0.030772,0.032954,"[0.02810167521238327, 0.03344148397445679]","[4.074873924255371, 3.8998310565948486]",0.000000,[],174,5539
51,train,0.041763,0.041763,0.000000,4.003415,0.041763,0.032237,"[0.03954003006219864, 0.04398690164089203]","[4.088727951049805, 3.9181032180786133]",0.000000,[],1558,49843
51,val,0.030603,0.030603,0.000000,4.007038,0.030603,0.032604,"[0.028033051639795303, 0.03317294269800186]","[4.091662883758545, 3.9224119186401367]",0.000000,[],174,5539
52,train,0.041736,0.041736,0.000000,4.015362,0.041736,0.032491,"[0.039517223834991455, 0.04395391792058945]","[4.099643230438232, 3.9310832023620605]",0.000000,[],1558,49843
52,val,0.030546,0.030546,0.000000,4.025958,0.030546,0.032528,"[0.027896542102098465, 0.033194851130247116]","[4.10932731628418, 3.942589521408081]",0.000000,[],174,5539
53,train,0.041718,0.041718,0.000000,4.025320,0.041718,0.032693,"[0.03950624540448189, 0.04392986744642258]","[4.108798503875732, 3.941847085952759]",0.000000,[],1558,49843
53,val,0.030566,0.030566,0.000000,4.043099,0.030566,0.032644,"[0.027913548052310944, 0.03321865573525429]","[4.124518394470215, 3.9616780281066895]",0.000000,[],174,5539
54,train,0.041701,0.041701,0.000000,4.035386,0.041701,0.032891,"[0.039492182433605194, 0.043910663574934006]","[4.1179962158203125, 3.95277738571167]",0.000000,[],1558,49843
54,val,0.030671,0.030671,0.000000,4.040086,0.030671,0.032753,"[0.028083307668566704, 0.033258795738220215]","[4.122368812561035, 3.9578030109405518]",0.000000,[],174,5539
55,train,0.041684,0.041684,0.000000,4.045200,0.041684,0.033117,"[0.039476312696933746, 0.043892133980989456]","[4.127063274383545, 3.9633307456970215]",0.000000,[],1558,49843
55,val,0.030601,0.030601,0.000000,4.061878,0.030601,0.033090,"[0.02784738317131996, 0.03335397318005562]","[4.142527103424072, 3.9812300205230713]",0.000000,[],174,5539
56,train,0.041670,0.041670,0.000000,4.054403,0.041670,0.033358,"[0.03946243226528168, 0.043877363204956055]","[4.135500907897949, 3.9733030796051025]",0.000000,[],1558,49843
56,val,0.030614,0.030614,0.000000,4.053451,0.030614,0.034920,"[0.02800769917666912, 0.03321956470608711]","[4.134459018707275, 3.9724414348602295]",0.000000,[],174,5539
57,train,0.041647,0.041647,0.000000,4.063056,0.041647,0.033571,"[0.03944478556513786, 0.04384944587945938]","[4.143387317657471, 3.9827184677124023]",0.000000,[],1558,49843
57,val,0.030625,0.030625,0.000000,4.061362,0.030625,0.032639,"[0.028047557920217514, 0.033202994614839554]","[4.142416954040527, 3.9803075790405273]",0.000000,[],174,5539
58,train,0.041642,0.041642,0.000000,4.071573,0.041642,0.033760,"[0.039443690329790115, 0.04383955895900726]","[4.151267051696777, 3.9918746948242188]",0.000000,[],1558,49843
58,val,0.030533,0.030533,0.000000,4.069896,0.030533,0.034468,"[0.027882061898708344, 0.03318477421998978]","[4.149288654327393, 3.9905033111572266]",0.000000,[],174,5539
59,train,0.041628,0.041628,0.000000,4.079184,0.041628,0.033935,"[0.039435792714357376, 0.04382002726197243]","[4.158332347869873, 4.000045299530029]",0.000000,[],1558,49843
59,val,0.030585,0.030585,0.000000,4.081190,0.030585,0.034393,"[0.027903251349925995, 0.03326699510216713]","[4.160170555114746, 4.002209186553955]",0.000000,[],174,5539
60,train,0.041613,0.041613,0.000000,4.087181,0.041613,0.034194,"[0.03942441567778587, 0.04380236938595772]","[4.165670394897461, 4.008693218231201]",0.000000,[],1558,49843
60,val,0.030642,0.030642,0.000000,4.080802,0.030642,0.036315,"[0.028108781203627586, 0.0331745371222496]","[4.160038948059082, 4.001564025878906]",0.000000,[],174,5539
61,train,0.041595,0.041595,0.000000,4.093934,0.041595,0.034358,"[0.039409227669239044, 0.04378145933151245]","[4.171888828277588, 4.015979766845703]",0.000000,[],1558,49843
61,val,0.030534,0.030534,0.000000,4.096063,0.030534,0.034542,"[0.027962684631347656, 0.03310566022992134]","[4.174474239349365, 4.0176520347595215]",0.000000,[],174,5539
62,train,0.041573,0.041573,0.000000,4.101519,0.041573,0.034495,"[0.03939351066946983, 0.04375191405415535]","[4.178884029388428, 4.024154186248779]",0.000000,[],1558,49843
62,val,0.030482,0.030482,0.000000,4.102678,0.030482,0.036436,"[0.027934489771723747, 0.03302900120615959]","[4.179858207702637, 4.025496959686279]",0.000000,[],174,5539
63,train,0.041574,0.041574,0.000000,4.107763,0.041574,0.034708,"[0.03939441218972206, 0.04375379905104637]","[4.184609889984131, 4.030910968780518]",0.000000,[],1558,49843
63,val,0.030649,0.030649,0.000000,4.097332,0.030649,0.036029,"[0.02822098508477211, 0.03307639807462692]","[4.175014495849609, 4.019649028778076]",0.000000,[],174,5539
64,train,0.041552,0.041552,0.000000,4.115005,0.041552,0.034821,"[0.03937982767820358, 0.043724387884140015]","[4.191280841827393, 4.03872537612915]",0.000000,[],1558,49843
64,val,0.030546,0.030546,0.000000,4.114635,0.030546,0.035576,"[0.02790825627744198, 0.03318432345986366]","[4.190989971160889, 4.038280010223389]",0.000000,[],174,5539
