epoch,split,total_loss,patch_cosine_loss,action_loss,patch_mse,patch_cosine_error,patch_mean_cosine_error,patch_cosine_error_by_horizon,patch_mse_by_horizon,action_mse,action_mse_by_horizon,steps,samples
42,val,0.999948,0.999948,0.000000,1.071522,0.999948,0.987085,"[0.9995515942573547, 1.0003440380096436]","[1.0605467557907104, 1.0824981927871704]",0.000000,[],1,8
43,train,0.970634,0.970634,0.000000,1.046758,0.970634,0.759903,"[0.9691260457038879, 0.9721410274505615]","[1.0406322479248047, 1.0528836250305176]",0.000000,[],1,24
43,val,0.999996,0.999996,0.000000,1.069725,0.999996,0.987510,"[0.9996235370635986, 1.0003677606582642]","[1.0591328144073486, 1.0803172588348389]",0.000000,[],1,8
44,train,0.969436,0.969436,0.000000,1.044628,0.969436,0.751973,"[0.9677724838256836, 0.971099853515625]","[1.0386428833007812, 1.0506142377853394]",0.000000,[],1,24
44,val,1.000059,1.000059,0.000000,1.067864,1.000059,0.988170,"[0.9997241497039795, 1.0003938674926758]","[1.0576616525650024, 1.0780667066574097]",0.000000,[],1,8
45,train,0.967886,0.967886,0.000000,1.042368,0.967886,0.743627,"[0.9664155840873718, 0.9693569540977478]","[1.036716103553772, 1.048020362854004]",0.000000,[],1,24
45,val,1.000124,1.000124,0.000000,1.066059,1.000124,0.988940,"[0.9998259544372559, 1.000422716140747]","[1.0562310218811035, 1.0758862495422363]",0.000000,[],1,8
46,train,0.966581,0.966581,0.000000,1.040325,0.966580,0.735974,"[0.9650578498840332, 0.9681031107902527]","[1.0348408222198486, 1.0458104610443115]",0.000000,[],1,24
46,val,1.000180,1.000180,0.000000,1.064316,1.000180,0.989830,"[0.9999117851257324, 1.0004483461380005]","[1.05484938621521, 1.0737828016281128]",0.000000,[],1,8
47,train,0.965167,0.965167,0.000000,1.038224,0.965167,0.727352,"[0.9638521075248718, 0.9664823412895203]","[1.0329594612121582, 1.0434882640838623]",0.000000,[],1,24
47,val,1.000235,1.000235,0.000000,1.062673,1.000235,0.990832,"[0.999992847442627, 1.0004773139953613]","[1.0535516738891602, 1.0717949867248535]",0.000000,[],1,8
48,train,0.963515,0.963515,0.000000,1.036136,0.963515,0.719939,"[0.9619300961494446, 0.9651002883911133]","[1.0309844017028809, 1.0412886142730713]",0.000000,[],1,24
48,val,1.000291,1.000291,0.000000,1.061137,1.000291,0.991952,"[1.00007963180542, 1.0005017518997192]","[1.0523428916931152, 1.0699305534362793]",0.000000,[],1,8
49,train,0.961809,0.961809,0.000000,1.034173,0.961809,0.712280,"[0.9599502086639404, 0.9636676907539368]","[1.0290751457214355, 1.0392717123031616]",0.000000,[],1,24
49,val,1.000353,1.000353,0.000000,1.059658,1.000353,0.993114,"[1.000173568725586, 1.000532627105713]","[1.0511664152145386, 1.068149209022522]",0.000000,[],1,8
50,train,0.960319,0.960319,0.000000,1.032351,0.960319,0.704635,"[0.9585423469543457, 0.9620963931083679]","[1.027494192123413, 1.0372081995010376]",0.000000,[],1,24
50,val,1.000410,1.000410,0.000000,1.058163,1.000410,0.994180,"[1.0002490282058716, 1.00057053565979]","[1.049961805343628, 1.0663642883300781]",0.000000,[],1,8
51,train,0.958455,0.958455,0.000000,1.030441,0.958455,0.697209,"[0.9563467502593994, 0.9605636596679688]","[1.0256189107894897, 1.0352624654769897]",0.000000,[],1,24
51,val,1.000454,1.000454,0.000000,1.056689,1.000454,0.994958,"[1.0002959966659546, 1.0006121397018433]","[1.0487674474716187, 1.0646097660064697]",0.000000,[],1,8
52,train,0.957548,0.957548,0.000000,1.028927,0.957548,0.689667,"[0.9552963376045227, 0.9597988128662109]","[1.0242087841033936, 1.0336456298828125]",0.000000,[],1,24
52,val,1.000496,1.000496,0.000000,1.055201,1.000496,0.995517,"[1.0003230571746826, 1.0006680488586426]","[1.0475473403930664, 1.0628554821014404]",0.000000,[],1,8
53,train,0.955117,0.955117,0.000000,1.026790,0.955117,0.682031,"[0.952934980392456, 0.957299530506134]","[1.0223296880722046, 1.0312495231628418]",0.000000,[],1,24
53,val,1.000529,1.000529,0.000000,1.053728,1.000529,0.995876,"[1.0003329515457153, 1.0007243156433105]","[1.0463318824768066, 1.0611244440078735]",0.000000,[],1,8
54,train,0.953654,0.953654,0.000000,1.025186,0.953654,0.675013,"[0.9513897895812988, 0.9559176564216614]","[1.0208423137664795, 1.029529094696045]",0.000000,[],1,24
54,val,1.000562,1.000562,0.000000,1.052278,1.000562,0.996374,"[1.0003340244293213, 1.0007901191711426]","[1.0451316833496094, 1.0594244003295898]",0.000000,[],1,8
55,train,0.951705,0.951705,0.000000,1.023303,0.951705,0.667862,"[0.9496397972106934, 0.9537712931632996]","[1.019232153892517, 1.0273739099502563]",0.000000,[],1,24
55,val,1.000585,1.000585,0.000000,1.051004,1.000585,0.996607,"[1.0003199577331543, 1.000849723815918]","[1.0440887212753296, 1.057919979095459]",0.000000,[],1,8
56,train,0.949601,0.949601,0.000000,1.021610,0.949601,0.660140,"[0.9466919898986816, 0.9525100588798523]","[1.0173699855804443, 1.0258500576019287]",0.000000,[],1,24
56,val,1.000598,1.000598,0.000000,1.049850,1.000598,0.996769,"[1.0003067255020142, 1.0008889436721802]","[1.043157935142517, 1.056541085243225]",0.000000,[],1,8
57,train,0.948164,0.948164,0.000000,1.020182,0.948164,0.653916,"[0.9458300471305847, 0.9504978656768799]","[1.0162885189056396, 1.0240757465362549]",0.000000,[],1,24
57,val,1.000620,1.000620,0.000000,1.048740,1.000620,0.997368,"[1.0003072023391724, 1.000933051109314]","[1.042258858680725, 1.0552213191986084]",0.000000,[],1,8
58,train,0.946343,0.946343,0.000000,1.018735,0.946343,0.647647,"[0.9440415501594543, 0.9486439824104309]","[1.015045404434204, 1.0224239826202393]",0.000000,[],1,24
58,val,1.000645,1.000645,0.000000,1.047565,1.000645,0.998226,"[1.000325322151184, 1.0009642839431763]","[1.0413048267364502, 1.0538246631622314]",0.000000,[],1,8
59,train,0.944453,0.944453,0.000000,1.017335,0.944453,0.641127,"[0.9417814612388611, 0.947124719619751]","[1.0136417150497437, 1.0210285186767578]",0.000000,[],1,24
59,val,1.000682,1.000682,0.000000,1.046353,1.000682,0.999401,"[1.000349521636963, 1.001013994216919]","[1.0403306484222412, 1.0523762702941895]",0.000000,[],1,8
60,train,0.942445,0.942445,0.000000,1.015963,0.942445,0.635335,"[0.9398095011711121, 0.9450814723968506]","[1.0124380588531494, 1.0194883346557617]",0.000000,[],1,24
60,val,1.000720,1.000720,0.000000,1.045219,1.000720,1.000442,"[1.0003538131713867, 1.0010868310928345]","[1.0394349098205566, 1.0510029792785645]",0.000000,[],1,8
61,train,0.940809,0.940809,0.000000,1.014722,0.940809,0.628973,"[0.9381901621818542, 0.9434280395507812]","[1.011347770690918, 1.0180953741073608]",0.000000,[],1,24
61,val,1.000772,1.000772,0.000000,1.044168,1.000772,1.001464,"[1.0003710985183716, 1.001173496246338]","[1.0386162996292114, 1.0497193336486816]",0.000000,[],1,8
62,train,0.938487,0.938487,0.000000,1.013379,0.938487,0.623759,"[0.9358708262443542, 0.9411029815673828]","[1.0101617574691772, 1.016597032546997]",0.000000,[],1,24
62,val,1.000804,1.000804,0.000000,1.043167,1.000804,1.002149,"[1.0003769397735596, 1.0012309551239014]","[1.0378446578979492, 1.0484895706176758]",0.000000,[],1,8
63,train,0.936821,0.936821,0.000000,1.012268,0.936821,0.618437,"[0.9338529706001282, 0.9397895336151123]","[1.009060263633728, 1.0154767036437988]",0.000000,[],1,24
63,val,1.000808,1.000808,0.000000,1.042336,1.000808,1.002588,"[1.000348687171936, 1.0012662410736084]","[1.0372099876403809, 1.0474622249603271]",0.000000,[],1,8
64,train,0.934621,0.934621,0.000000,1.011068,0.934621,0.613129,"[0.9321460723876953, 0.9370958805084229]","[1.0081007480621338, 1.0140347480773926]",0.000000,[],1,24
64,val,1.000800,1.000800,0.000000,1.041647,1.000800,1.002918,"[1.0003279447555542, 1.0012726783752441]","[1.036694049835205, 1.0465991497039795]",0.000000,[],1,8
65,train,0.933077,0.933077,0.000000,1.010100,0.933077,0.608061,"[0.9305453300476074, 0.9356077313423157]","[1.0072309970855713, 1.0129685401916504]",0.000000,[],1,24
65,val,1.000804,1.000804,0.000000,1.040996,1.000804,1.003245,"[1.0003184080123901, 1.001290202140808]","[1.0361939668655396, 1.0457983016967773]",0.000000,[],1,8
66,train,0.930936,0.930936,0.000000,1.009003,0.930936,0.602366,"[0.9280735850334167, 0.933798611164093]","[1.0060720443725586, 1.0119335651397705]",0.000000,[],1,24
66,val,1.000825,1.000825,0.000000,1.040334,1.000825,1.004039,"[1.0002951622009277, 1.0013556480407715]","[1.0356465578079224, 1.045021414756775]",0.000000,[],1,8
67,train,0.928657,0.928657,0.000000,1.007890,0.928657,0.596809,"[0.9262599945068359, 0.9310539364814758]","[1.0052354335784912, 1.0105453729629517]",0.000000,[],1,24
67,val,1.000833,1.000833,0.000000,1.039633,1.000833,1.005007,"[1.0002572536468506, 1.0014077425003052]","[1.0350724458694458, 1.0441932678222656]",0.000000,[],1,8
68,train,0.926864,0.926864,0.000000,1.006964,0.926864,0.593216,"[0.9242708086967468, 0.9294571280479431]","[1.0043658018112183, 1.0095620155334473]",0.000000,[],1,24
68,val,1.000817,1.000817,0.000000,1.038753,1.000817,1.005469,"[1.0002150535583496, 1.001418113708496]","[1.0343806743621826, 1.043124794960022]",0.000000,[],1,8
69,train,0.924879,0.924879,0.000000,1.005955,0.924879,0.588775,"[0.9220085144042969, 0.9277489185333252]","[1.0033444166183472, 1.0085666179656982]",0.000000,[],1,24
69,val,1.000768,1.000768,0.000000,1.037894,1.000768,1.005031,"[1.000143051147461, 1.001393437385559]","[1.03371262550354, 1.0420746803283691]",0.000000,[],1,8
70,train,0.922894,0.922894,0.000000,1.004956,0.922894,0.584154,"[0.9199304580688477, 0.92585688829422]","[1.0024000406265259, 1.0075114965438843]",0.000000,[],1,24
70,val,1.000721,1.000721,0.000000,1.037119,1.000721,1.004269,"[1.0000722408294678, 1.0013694763183594]","[1.033128023147583, 1.0411102771759033]",0.000000,[],1,8
71,train,0.920543,0.920543,0.000000,1.003843,0.920543,0.581078,"[0.9175896644592285, 0.9234954714775085]","[1.0013760328292847, 1.0063097476959229]",0.000000,[],1,24
71,val,1.000720,1.000720,0.000000,1.036553,1.000720,1.004050,"[1.0000207424163818, 1.001420021057129]","[1.0326915979385376, 1.0404138565063477]",0.000000,[],1,8
72,train,0.918633,0.918633,0.000000,1.002994,0.918633,0.576732,"[0.9156608581542969, 0.9216060042381287]","[1.0005934238433838, 1.0053956508636475]",0.000000,[],1,24
72,val,1.000778,1.000778,0.000000,1.036058,1.000778,1.004893,"[1.000036597251892, 1.0015201568603516]","[1.0322728157043457, 1.0398435592651367]",0.000000,[],1,8
73,train,0.916812,0.916812,0.000000,1.002077,0.916812,0.571952,"[0.9138436317443848, 0.9197797775268555]","[0.9997666478157043, 1.0043878555297852]",0.000000,[],1,24
73,val,1.000823,1.000823,0.000000,1.035523,1.000823,1.005626,"[1.0000786781311035, 1.0015666484832764]","[1.0318081378936768, 1.0392374992370605]",0.000000,[],1,8
74,train,0.914861,0.914861,0.000000,1.001265,0.914861,0.568478,"[0.9121454358100891, 0.9175765514373779]","[0.9991119503974915, 1.0034186840057373]",0.000000,[],1,24
74,val,1.000826,1.000826,0.000000,1.034847,1.000826,1.005462,"[1.0000977516174316, 1.001554250717163]","[1.0312516689300537, 1.038442850112915]",0.000000,[],1,8
75,train,0.912891,0.912891,0.000000,1.000379,0.912891,0.564740,"[0.9099271893501282, 0.9158547520637512]","[0.9982154965400696, 1.0025417804718018]",0.000000,[],1,24
75,val,1.000782,1.000782,0.000000,1.034149,1.000782,1.004400,"[1.0000388622283936, 1.0015252828598022]","[1.03072190284729, 1.0375761985778809]",0.000000,[],1,8
76,train,0.910802,0.910802,0.000000,0.999446,0.910802,0.561656,"[0.9081389307975769, 0.9134647846221924]","[0.9974360466003418, 1.0014564990997314]",0.000000,[],1,24
76,val,1.000731,1.000731,0.000000,1.033478,1.000731,1.003107,"[0.9999502897262573, 1.0015124082565308]","[1.030221939086914, 1.0367351770401]",0.000000,[],1,8
77,train,0.908703,0.908703,0.000000,0.998513,0.908703,0.556609,"[0.9056636691093445, 0.9117420315742493]","[0.9964613914489746, 1.0005652904510498]",0.000000,[],1,24
77,val,1.000694,1.000694,0.000000,1.032968,1.000694,1.002163,"[0.9998701214790344, 1.0015172958374023]","[1.0298383235931396, 1.0360972881317139]",0.000000,[],1,8
78,train,0.906865,0.906865,0.000000,0.997749,0.906865,0.553476,"[0.9037137031555176, 0.910015881061554]","[0.995703399181366, 0.9997956156730652]",0.000000,[],1,24
