epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
16,train_single_demo,0.1113233243,0.1113233243,raw_action_units,0.9899087747,0.9899087747,5.422238986,"[1.0234252214, 0.9543498158, 0.9790326953, 1.0028270483]","[5.4895033836, 5.3588256836, 5.3996009827, 5.4410262108]","[0.0326666422, 0.033690583, 0.0417688191, 0.04234365]","[0.0237631667, 0.0182219315, 0.0619377196, 0.0028963506, 0.0032590476, 0.0011166326, 0.152127102]",0,0.1113233169,raw_action_units,2,96,769564,769564,true
16,eval_same_demo_teacher_forced,0.103677767,0.103677767,raw_action_units,0.9897248745,0.9897248745,5.421648026,"[1.0230361223, 0.953409493, 0.9778270125, 1.0046268702]","[5.48858881, 5.3570437431, 5.3972887993, 5.4436717033]","[0.0208389014, 0.0244143289, 0.0332183726, 0.033899907]","[0.0070112161, 0.0118274046, 0.0362886824, 0.0011858039, 0.0039778249, 0.0015279005, 0.1348313093]",0,0.103677761,raw_action_units,2,96,769564,769564,true
17,train_single_demo,0.102331683,0.102331683,raw_action_units,0.9898850322,0.9898850322,5.421894391,"[1.0229777098, 0.9534747005, 0.9778649211, 1.0052229166]","[5.4884190559, 5.3572349548, 5.3972859383, 5.4446358681]","[0.0266621727, 0.0313353688, 0.0443133116, 0.0400856733]","[0.0152758127, 0.0150996754, 0.0565767325, 0.0027225204, 0.0031917095, 0.0011811069, 0.1551463455]",0,0.1023316781,raw_action_units,2,96,769564,769564,true
17,eval_same_demo_teacher_forced,0.09462185949,0.09462185949,raw_action_units,0.9907205105,0.9907205105,5.423589706,"[1.0225254297, 0.9540880322, 0.9778541923, 1.0084143877]","[5.4876594543, 5.3590874672, 5.3974018097, 5.4502100945]","[0.0190501921, 0.0261256825, 0.0337720104, 0.0333405621]","[0.0063065044, 0.0117708398, 0.0408942848, 0.001428425, 0.0034645388, 0.0016147682, 0.1310254037]",0,0.09462185417,raw_action_units,2,96,769564,769564,true
18,train_single_demo,0.09347074479,0.09347074479,raw_action_units,0.9906906287,0.9906906287,5.423754374,"[1.0221623182, 0.954012692, 0.9778397083, 1.0087479353]","[5.487159729, 5.3592476845, 5.3975753784, 5.4510331154]","[0.0187352244, 0.0207354557, 0.0332250036, 0.0353845283]","[0.0152473571, 0.0126289492, 0.0435861051, 0.0031591449, 0.0030663032, 0.0011807381, 0.1102717593]",0,0.09347074089,raw_action_units,2,96,769564,769564,true
18,eval_same_demo_teacher_forced,0.08622402698,0.08622402698,raw_action_units,0.989738663,0.989738663,5.42373244,"[1.0191916227, 0.9524703026, 0.9777850509, 1.0095077753]","[5.4833068848, 5.358276844, 5.3988604546, 5.4544854164]","[0.0175717659, 0.0267585125, 0.0334514938, 0.0328994207]","[0.0060631284, 0.0117508098, 0.0448478125, 0.0016857358, 0.0032485214, 0.0018505821, 0.1242454946]",0,0.08622402237,raw_action_units,2,96,769564,769564,true
19,train_single_demo,0.08474138379,0.08474138379,raw_action_units,0.9892801444,0.9892801444,5.423329671,"[1.0182291269, 0.9519069195, 0.9777317643, 1.0092526674]","[5.4819774628, 5.3576374054, 5.3991355896, 5.4545669556]","[0.0184216723, 0.0213305969, 0.028113896, 0.0263452958]","[0.0186841469, 0.0190801919, 0.0468371175, 0.0039363583, 0.003525886, 0.0012196052, 0.0715867504]",0,0.08474138237,raw_action_units,2,96,769564,769564,true
19,eval_same_demo_teacher_forced,0.07771416754,0.07771416754,raw_action_units,0.9871912797,0.9871912797,5.422386169,"[1.013564229, 0.9497753978, 0.9773871899, 1.0080381632]","[5.4764962196, 5.3561091423, 5.4007587433, 5.4561800957]","[0.0164446961, 0.025547361, 0.0322434641, 0.0320478827]","[0.0060648364, 0.01058215, 0.0450152718, 0.0015530037, 0.0033800683, 0.0014422243, 0.1179583892]",0,0.07771416221,raw_action_units,2,96,769564,769564,true
20,train_single_demo,0.07681567967,0.07681567967,raw_action_units,0.9868850112,0.9868850112,5.422564189,"[1.0127614737, 0.9496045113, 0.9771907926, 1.0079833269]","[5.4758353233, 5.3563380241, 5.401008606, 5.4570736885]","[0.0150335552, 0.0260461811, 0.036586564, 0.0369835123]","[0.0154949231, 0.0143590383, 0.0353037156, 0.004059766, 0.0028848334, 0.001212873, 0.1273220181]",0,0.07681567612,raw_action_units,2,96,769564,769564,true
20,eval_same_demo_teacher_forced,0.07117731869,0.07117731869,raw_action_units,0.9853254159,0.9853254159,5.423730055,"[1.009291172, 0.9485387802, 0.9764180183, 1.0070534945]","[5.4739279747, 5.3573660851, 5.403116703, 5.4605097771]","[0.0156716388, 0.0247510169, 0.0317862965, 0.0315103382]","[0.0057415073, 0.0098600481, 0.0462420322, 0.0014784232, 0.0037837566, 0.0009501377, 0.1134528443]",0,0.07117731514,raw_action_units,2,96,769564,769564,true
21,train_single_demo,0.07061908518,0.07061908518,raw_action_units,0.985058248,0.985058248,5.423932711,"[1.0087732077, 0.9483680725, 0.9763655066, 1.0067263842]","[5.4737319946, 5.3575592041, 5.4037890434, 5.4606499672]","[0.0174118336, 0.0215825438, 0.0228763744, 0.021213321]","[0.0177171193, 0.0140730031, 0.0342169106, 0.0037286079, 0.003448501, 0.0011472603, 0.0710657164]",0,0.07061908359,raw_action_units,2,96,769564,769564,true
21,eval_same_demo_teacher_forced,0.06687492132,0.06687492132,raw_action_units,0.9846116702,0.9846116702,5.427434921,"[1.0076858997, 0.9483552575, 0.9760934711, 1.0063120127]","[5.4765033722, 5.3607978821, 5.4075913429, 5.4648451805]","[0.0156307165, 0.0245377552, 0.0315052085, 0.0308308546]","[0.0056863315, 0.0095761959, 0.0469381772, 0.0015810509, 0.0031935691, 0.0008691307, 0.1115384772]",0,0.06687491565,raw_action_units,2,96,769564,769564,true
22,train_single_demo,0.06683659678,0.06683659678,raw_action_units,0.9846438567,0.9846438567,5.428115368,"[1.0077825785, 0.9484498501, 0.9759138227, 1.0064293146]","[5.4773845673, 5.3614106178, 5.4079704285, 5.4656949043]","[0.0123273311, 0.0160246622, 0.0254419278, 0.0264428016]","[0.0129929828, 0.0113563025, 0.0471019782, 0.0023664106, 0.0031082137, 0.0010175324, 0.0624708198]",0,0.06683659554,raw_action_units,2,96,769564,769564,true
22,eval_same_demo_teacher_forced,0.06405430287,0.06405430287,raw_action_units,0.9852295319,0.9852295319,5.433438301,"[1.0081810951, 0.9499454498, 0.9762434959, 1.0065480471]","[5.48260355, 5.36759758, 5.4130415916, 5.4705104828]","[0.016192399, 0.0248133764, 0.0306345616, 0.0300205816]","[0.0057631694, 0.0092083812, 0.0476404317, 0.0015130561, 0.0022379309, 0.0008764156, 0.1106672063]",0,0.06405430181,raw_action_units,2,96,769564,769564,true
23,train_single_demo,0.06395625571,0.06395625571,raw_action_units,0.9852936665,0.9852936665,5.434263388,"[1.0081317425, 0.9502660632, 0.9763525128, 1.0064243078]","[5.4832310677, 5.3687787056, 5.4140639305, 5.4709792137]","[0.0138725126, 0.0232830886, 0.0198010728, 0.0221885592]","[0.0177154448, 0.0130661959, 0.0353993289, 0.0023313628, 0.0027012115, 0.0006609227, 0.066629678]",0,0.06395625217,raw_action_units,2,96,769564,769564,true
23,eval_same_demo_teacher_forced,0.06210616479,0.06210616479,raw_action_units,0.9857622981,0.9857622981,5.438587189,"[1.0083602667, 0.9520545006, 0.9759303927, 1.0067039728]","[5.4872374535, 5.3749294281, 5.4167666435, 5.4754142761]","[0.0160751771, 0.0238939319, 0.0292718168, 0.0301773939]","[0.0053227604, 0.0088710273, 0.0468567461, 0.0013562619, 0.001949646, 0.0007728562, 0.1088527665]",0,0.06210616089,raw_action_units,2,96,769564,769564,true
24,train_single_demo,0.06177932769,0.06177932769,raw_action_units,0.9857916832,0.9857916832,5.439339797,"[1.008359313, 0.9523212314, 0.9755118489, 1.0069743395]","[5.4879741669, 5.3759531975, 5.4165687561, 5.4768614769]","[0.0091395322, 0.0196358599, 0.0225545242, 0.0211921111]","[0.0150163015, 0.0138374483, 0.0356476828, 0.0017357836, 0.0027462312, 0.0005990651, 0.0573310368]",0,0.06177932308,raw_action_units,2,96,769564,769564,true
24,eval_same_demo_teacher_forced,0.06041938066,0.06041938066,raw_action_units,0.985551556,0.985551556,5.441082954,"[1.0077582598, 0.9535303116, 0.9735310674, 1.0073866844]","[5.4891877174, 5.3798317909, 5.4152584076, 5.480052948]","[0.0163972303, 0.0233438369, 0.028992191, 0.0316774584]","[0.0053802151, 0.0087420121, 0.0502639115, 0.0011611037, 0.0025405472, 0.000892067, 0.1067389026]",0,0.06041937783,raw_action_units,2,96,769564,769564,true
25,train_single_demo,0.06033453345,0.06033453345,raw_action_units,0.9854496519,0.9854496519,5.441193899,"[1.0075541735, 0.9537248611, 0.9731273055, 1.0073924065]","[5.4891681671, 5.3804321289, 5.4149460793, 5.4802284241]","[0.0085975183, 0.016422322, 0.0240263734, 0.0262444541]","[0.0176835041, 0.0130788917, 0.0227302555, 0.0010309143, 0.0017036659, 0.0004695839, 0.0750618502]",0,0.0603345292,raw_action_units,2,96,769564,769564,true
25,eval_same_demo_teacher_forced,0.05826181422,0.05826181422,raw_action_units,0.9853311181,0.9853311181,5.442216237,"[1.0073215961, 0.9544531703, 0.9706436992, 1.0089060068]","[5.4903969765, 5.3825669289, 5.4119257927, 5.4839744568]","[0.0157480463, 0.0223837402, 0.0282786414, 0.031324368]","[0.0055976859, 0.0082542179, 0.0480338223, 0.0011395891, 0.0032828741, 0.000858549, 0.1038691476]",0,0.05826181173,raw_action_units,2,96,769564,769564,true
26,train_single_demo,0.0579757529,0.0579757529,raw_action_units,0.9853774309,0.9853774309,5.442539851,"[1.0074094534, 0.9545133114, 0.9701874852, 1.0093996525]","[5.4909329414, 5.3828392029, 5.4113411903, 5.4850444794]","[0.0126841804, 0.0198137369, 0.023056468, 0.0217542052]","[0.0121141123, 0.0102218091, 0.0265495256, 0.0010336521, 0.0019826961, 0.0005761994, 0.0828120187]",0,0.05797574917,raw_action_units,2,96,769564,769564,true
