epoch,split,total_loss,action_loss,action_loss_units,future_loss,future_latent_cosine_error,future_latent_mse,future_latent_cosine_error_by_horizon,future_latent_mse_by_horizon,action_mse_by_horizon,action_mse_by_dimension,spike_loss,action_mse,action_mse_units,steps,samples,parameter_count,trainable_parameter_count,lower_is_better
17,train,0.02158894444,0.02014159494,raw_action_units,0.001447349525,0.001447349525,0.05211935586,"[0.0009555948, 0.0013303813, 0.0016208863, 0.0018825311]","[0.035462521, 0.0470082313, 0.0561496615, 0.0698570311]","[0.0099225501, 0.0169897508, 0.0236349888, 0.0299476031]","[0.010886821, 0.0066340328, 0.0112748658, 0.0004546346, 0.0010317358, 0.0005423123, 0.1100416258]",0,0.02014159403,raw_action_units,1315,42067,769564,769564,true
17,val,0.02125697449,0.02006977424,raw_action_units,0.00118720029,0.00118720029,0.04991194948,"[0.000774147, 0.0010798523, 0.0013305036, 0.0015642982]","[0.0316864699, 0.0452007987, 0.0548967905, 0.0678637251]","[0.0093269059, 0.0162707902, 0.0237936005, 0.0305737387]","[0.0089807454, 0.008180799, 0.0088387644, 0.0003170503, 0.0016614294, 0.0005405148, 0.1114195287]",0,0.02006977328,raw_action_units,190,6073,769564,769564,true
18,train,0.02138231058,0.01994293346,raw_action_units,0.00143937711,0.00143937711,0.05432452132,"[0.0009515525, 0.0013234213, 0.0016119045, 0.0018706294]","[0.0392742008, 0.0501064397, 0.0590971075, 0.0688203946]","[0.0098520694, 0.0168521162, 0.0234367866, 0.0295582376]","[0.0106890732, 0.006549329, 0.0112851113, 0.0004606062, 0.0009838525, 0.0005459151, 0.1089596599]",0,0.01994293257,raw_action_units,1315,42067,769564,769564,true
18,val,0.02143496969,0.0201722796,raw_action_units,0.001262690171,0.001262690171,0.0502039651,"[0.0008120711, 0.0011443225, 0.0014216003, 0.0016727664]","[0.0355553776, 0.0472458228, 0.0544148311, 0.0635997951]","[0.009180733, 0.0163583178, 0.023636492, 0.0311607346]","[0.0084019732, 0.0070121046, 0.0112494817, 0.0003530659, 0.0010414927, 0.000530409, 0.1119998917]",0,0.02017227872,raw_action_units,190,6073,769564,769564,true
19,train,0.02121364225,0.01978167577,raw_action_units,0.001431966503,0.001431966503,0.06792129599,"[0.0009483532, 0.0013185288, 0.0016026029, 0.0018583809]","[0.0555391759, 0.0656233206, 0.0729229972, 0.0775996894]","[0.0098290099, 0.0167086404, 0.0231967531, 0.029319372]","[0.0106046423, 0.0065177819, 0.0110522648, 0.0004374835, 0.0009915201, 0.0005529841, 0.1081874445]",0,0.01978167486,raw_action_units,1315,42067,769564,769564,true
19,val,0.02096323538,0.01976631507,raw_action_units,0.001196920229,0.001196920229,0.07023590944,"[0.0007973092, 0.0010673091, 0.0013466547, 0.0015764084]","[0.060026221, 0.0695166439, 0.0742375851, 0.07716313]","[0.0091483314, 0.0160020832, 0.0232376363, 0.0303275865]","[0.0085486239, 0.0066011008, 0.0091781355, 0.0004254122, 0.0009100566, 0.0004559503, 0.1116330922]",0,0.01976631421,raw_action_units,190,6073,769564,769564,true
20,train,0.02093999351,0.0195266967,raw_action_units,0.001413296817,0.001413296817,0.09669635341,"[0.0009321034, 0.0013003871, 0.0015827043, 0.0018379947]","[0.0877692401, 0.0958078429, 0.1021802947, 0.1010279283]","[0.0096529657, 0.0164812803, 0.0229749456, 0.0289326888]","[0.0104339598, 0.0063893097, 0.0109460205, 0.0004420429, 0.000929936, 0.0005176794, 0.1069143638]",0,0.0195266958,raw_action_units,1315,42067,769564,769564,true
20,val,0.02023194504,0.01910220881,raw_action_units,0.001129736262,0.001129736262,0.1030536786,"[0.0007646868, 0.001023203, 0.0012502525, 0.001480802]","[0.0972429514, 0.1060470641, 0.1067112014, 0.1022135764]","[0.0086436644, 0.0155575136, 0.0223970599, 0.0294494033]","[0.0093882754, 0.0068135117, 0.0100935614, 0.0002954018, 0.0008208951, 0.0003999733, 0.1052717417]",0,0.01910220799,raw_action_units,190,6073,769564,769564,true
21,train,0.02089044788,0.01947404974,raw_action_units,0.001416398131,0.001416398131,0.1306769583,"[0.0009416409, 0.001304808, 0.0015830121, 0.0018361327]","[0.1272781342, 0.1327588856, 0.1349783987, 0.1276924163]","[0.0096914731, 0.016479088, 0.0228341874, 0.0288134348]","[0.0104395822, 0.0063964021, 0.0109039657, 0.0004373798, 0.000949921, 0.0004923372, 0.1065622643]",0,0.01947404887,raw_action_units,1315,42067,769564,769564,true
21,val,0.02039968635,0.01920472916,raw_action_units,0.001194957118,0.001194957118,0.1466957036,"[0.0007750788, 0.0010686523, 0.0013336785, 0.0016024191]","[0.1628199667, 0.1534827203, 0.1434040517, 0.1270761192]","[0.0087497784, 0.0156975146, 0.022508977, 0.0294637159]","[0.0080230311, 0.0068514487, 0.0083520003, 0.0003450666, 0.0009238829, 0.0004484319, 0.1087910905]",0,0.01920472836,raw_action_units,190,6073,769564,769564,true
22,train,0.02071021744,0.01931296302,raw_action_units,0.00139725444,0.00139725444,0.1589573029,"[0.0009308991, 0.0012894801, 0.0015603869, 0.0018082516]","[0.1628564894, 0.1631036103, 0.1610389054, 0.1488302797]","[0.0097170332, 0.0163677186, 0.0226038136, 0.0285341237]","[0.0104426239, 0.0063689314, 0.0109828236, 0.0004461136, 0.0009678738, 0.0004910068, 0.1054402292]",0,0.01931296214,raw_action_units,1315,42067,769564,769564,true
22,val,0.02366760745,0.02250211327,raw_action_units,0.001165494269,0.001165494269,0.1737893149,"[0.0008180919, 0.0010467353, 0.0012797163, 0.0015174331]","[0.194589451, 0.1778202504, 0.1694033295, 0.1533443183]","[0.0099036787, 0.0177853666, 0.0266880747, 0.0352153592]","[0.0084687257, 0.0065178862, 0.010013286, 0.0003000911, 0.0008638689, 0.0004589052, 0.1301640868]",0,0.02250211219,raw_action_units,190,6073,769564,769564,true
23,train,0.02058717463,0.01919346763,raw_action_units,0.001393706999,0.001393706999,0.1916138223,"[0.0009265862, 0.0012839295, 0.0015582144, 0.0018060971]","[0.2046657205, 0.1972576827, 0.1908921301, 0.1736395061]","[0.009588033, 0.0162395686, 0.0224920698, 0.0283495449]","[0.010369949, 0.0063078604, 0.0108468235, 0.0004243673, 0.0009363918, 0.0004839932, 0.1048018783]",0,0.01919346677,raw_action_units,1315,42067,769564,769564,true
